Sub_Function,Task,Primary_Agent_Pattern,Secondary_Agent_Pattern,Orchestration_Type,API_Requirements,Tools_Libraries,Human_In_Loop,Automation_Level
1. General Ledger (GL) Management,Transaction capture and validation,Tool Use Pattern,Reflection Pattern,Sequential,"SAP HANA API, Bank APIs, Document Scanner APIs","OCR libraries (Tesseract), SAP APIs, pandas, NumPy","Exception handling, complex transactions",90%
1. General Ledger (GL) Management,GL code review and approval,Multi-Agent Pattern,Human-in-Loop Pattern,Hierarchical,"SAP GL APIs, Workflow APIs","SAP Python connector, approval workflow engines",Final approval for high-value entries,85%
1. General Ledger (GL) Management,Journal entry posting,Sequential Pattern,Tool Use Pattern,Sequential,"SAP HANA APIs, Audit Trail APIs","SAP RFC connector, logging libraries",Exception review,95%
1. General Ledger (GL) Management,Monthly reconciliation,Parallel Multi-Agent Pattern,Reflection Pattern,Concurrent,"Bank APIs, SAP APIs, External system APIs","pandas, NumPy, reconciliation algorithms",Discrepancy investigation,80%
1. General Ledger (GL) Management,Period closure and locking,Planning Pattern,Tool Use Pattern,Sequential,"Period APIs, Validation APIs","Closure automation, validation systems",Final closure approval,85%
2. Accounts Payable (AP),Invoice intake and digitization,Tool Use Pattern,Reflection Pattern,Sequential,"OCR APIs, Document AI APIs, SAP APIs","OpenCV, Tesseract, Google Document AI",Low-quality document review,95%
2. Accounts Payable (AP),PO/GRN matching,Multi-Agent Pattern,Tool Use Pattern,Parallel,"SAP MM APIs, Purchase Order APIs","Fuzzy matching libraries, pandas",Unmatched item resolution,85%
2. Accounts Payable (AP),Vendor compliance validation,Tool Use Pattern,Planning Pattern,Sequential,"GST Verification API, PAN API, Bank Verification API","Compliance checking libraries, validation frameworks",New vendor approval,90%
2. Accounts Payable (AP),Approval routing,Hierarchical Multi-Agent Pattern,Human-in-Loop Pattern,Hierarchical,"Workflow APIs, Notification APIs","Workflow engines, notification systems",Approval decisions,70%
2. Accounts Payable (AP),Fraud detection,Multi-Agent Pattern,Reflection Pattern,Parallel,"ML APIs, Fraud Detection APIs","scikit-learn, TensorFlow, anomaly detection libraries",Fraud investigation,85%
2. Accounts Payable (AP),Payment execution,Sequential Pattern,Human-in-Loop Pattern,Sequential,"Banking APIs, RTGS/NEFT APIs, UPI APIs","Payment gateway SDKs, encryption libraries",High-value payment approval,80%
2. Accounts Payable (AP),Archive and compliance,Tool Use Pattern,Planning Pattern,Sequential,"Cloud Storage APIs, Document Management APIs","AWS S3, Azure Blob, document indexing",Compliance review,95%
